xfold,architecture,fold_desc
916,few secondary structure elements,"Necrosis inducing protein 1, NIP1"
7517,a/b three-layered sandwiches,Nucleoside hydrolase
53,beta duplicates or obligate multimers,Triple beta-spiral
608,alpha arrays,AhpD-like
4060,a+b duplicates or obligate multimers,NSP3 homodimer
593,alpha bundles,GroEL equatorial domain-like
3887,a+b two layers,Yeast killer toxin-like
4002,alpha bundles,alpha-helical domain in dehydroquinate synthase-like enzymes
5023,extended segments,"Iron-sulfur subunit of formate dehydrogenase N, transmembrane anchor"
168,alpha arrays,Sec7 domain
194,alpha complex topology,Serum albumin-like
4049,alpha superhelices,alpha-helical domain in siroheme synthase middle domains-like
4029,a+b duplicates or obligate multimers,SSH domain in siroheme synthase middle domains-like
1074,alpha arrays,Alpha helical domain of ribonucleotide reductases
3005,a+b three layers,"B12-dependent (class II) ribonucleotide reductase, insertion domain"
5046,extended segments,F-type ATP synthase subunit b
854,extended segments,Outer membrane virulence protein yopE
295,a+b two layers,ssDNA-binding transcriptional regulator domain-like
705,beta duplicates or obligate multimers,Cyanovirin-N
144,alpha arrays,PGBD-like
3012,a+b two layers,Cof C2 cap domain
5065,alpha bundles,Type II ABC importer transmembrane domain fold
624,alpha arrays,Variable surface antigen VlsE
198,alpha arrays,Saposin-like
4246,a+b complex topology,N-terminal domain in RNA-polymerase beta-prime subunit
4951,alpha arrays,inserted helical subdomain in bacterial RNA-polymerase beta-prime subunit
4959,a+b complex topology,first helical domain in RNA-polymerase beta-prime subunit
4958,a+b complex topology,second helical domain in RNA-polymerase beta-prime subunit
4954,a+b complex topology,central helical domain in RNA-polymerase beta-prime subunit
307,a+b two layers,Hedgehog/DD-peptidase
4001,a+b duplicates or obligate multimers,a+b domain in cullin-like proteins
4003,alpha arrays,Helical bundle domain in YebC-like proteins
4007,a+b two layers,a+b domain in YebC-like proteins
845,a+b complex topology,VSV matrix protein
3857,beta sandwiches,Head-binding domain of phage P22 tailspike protein
531,alpha arrays,Domains of FliG
289,a+b complex topology,Peptide deformylase
260,a+b duplicates or obligate multimers,beta-hairpin-alpha-hairpin repeat
4215,alpha arrays,SOCS box-like
910,few secondary structure elements,"Cysteine-rich DNA binding domain, (DM domain)"
324,a+b two layers,OsmC-like
272,a+b two layers,TolA/TonB C-terminal domain
5087,beta meanders,Lipovitellin-phosvitin complex
922,few secondary structure elements,TSP-1 type 1 repeat
3003,a+b complex topology,N-terminal subdomain in DNA replication initiator (cdc21/cdc54)
199,alpha arrays,Guanido kinase-N
4065,a+b complex topology,L-A virus major coat protein-related
536,alpha arrays,beta-catenin-interacting protein ICAT
714,beta sandwiches,"N-utilization substance G protein NusG, insert domain"
642,a+b three layers,"Suppressor of Fused, N-terminal domain"
7552,a/b three-layered sandwiches,Amidase signature (AS) enzymes
5010,extended segments,Bacterial aa3 type cytochrome c oxidase subunit IV
3006,a+b two layers,"Sm-Like archaeal protein Smap3, C-terminal domain"
589,alpha arrays,Triger factor/SurA peptide-binding domain-like
262,a+b complex topology,Nitric oxide (NO) synthase oxygenase domain
3788,alpha bundles,Viral accessory protein x (Vpx) / viral protein r (Vpr)
2010,a/b three-layered sandwiches,EDD domain
267,a+b complex topology,"Metal cation-transporting ATPase, ATP-binding domain"
131,alpha complex topology,PDEase-like
821,a+b three layers,GIY-YIG endonuclease
395,few secondary structure elements,Midkine-related
3358,few secondary structure elements,Zn3Cys9 preSET domain-related
592,alpha arrays,PWI domain-like
4964,alpha arrays,helical bundle in Bacillus stearothermophilus-like DNA polymerase I
4966,alpha arrays,inserted helical bundle subdomain in T7 RNA polymerase
77,beta meanders,open-sided beta-meander
640,alpha arrays,Methane monooxygenase hydrolase gamma subunit-like
7569,a/b three-layered sandwiches,Uracil-DNA glycosylase-like
4963,alpha complex topology,N-terminal additional helical subdomain in reovirus polymerase lambda3
4962,alpha complex topology,C-terminal additional helical subdomain in reovirus polymerase lambda3
619,a+b complex topology,Hypothetical protein HI1480
303,a+b four layers,Pyruvoyl-dependent histidine and arginine decarboxylases
629,alpha bundles,TorD-like (Pfam 06192)
179,alpha bundles,CO dehydrogenase ISP C-domain like
870,a+b two layers,Hypothetical protein Yml108w
3002,beta complex topology,"Adsorption protein p2, insertion domain"
3899,beta complex topology,Baseplate structural protein gp8
545,alpha bundles,Gametocyte protein Pfg27-related
530,alpha arrays,Chemosensory protein Csp2
566,alpha complex topology,P40 nucleoprotein-like
803,a+b duplicates or obligate multimers,Hypothetical protein YoaG
573,alpha duplicates or obligate multimers,Soluble domain of poliovirus core protein 3a
4040,alpha bundles,Fic-like
4058,a+b three layers,a+b domain in antivirulence factor
104,alpha duplicates or obligate multimers,"TFIIA, alpha-helical domain"
74,beta duplicates or obligate multimers,"Transcription factor IIA (TFIIA), beta-barrel domain"
3018,a+b two layers,MesJ substrate recognition domain-like
884,a+b two layers,"Hypothetical protein YjiA, C-terminal domain"
161,alpha complex topology,Helical scaffold and wing domains of SecA
7509,a/b three-layered sandwiches,NIF3 (NGG1p interacting factor 3)-like
571,alpha arrays,Replisome organizer (g39p helicase loader/inhibitor protein)
4066,a+b complex topology,Major capsid protein VP5
182,alpha complex topology,Cryptochrome/photolyase FAD-binding domain-related
819,a+b two layers,DNA-binding protein Tfx
7537,a/b three-layered sandwiches,PTS IIb component
606,alpha complex topology,Nop N-terminal domain
852,extended segments,Ubiquinol-cytochrome c reductase 8 kDa protein
6056,alpha arrays,SP1917-like
80,beta complex topology,HesB-like domain
643,alpha arrays,Hypothetical protein MTH393
276,a+b three layers,L-sulfolactate dehydrogenase-like
532,alpha arrays,Type III secretion system domain-like
251,a+b two layers,FYSH domain
7073,alpha arrays,C-terminal domain of Malic enzyme
171,alpha arrays,RNase III catalytic domain-like
7560,a/b three-layered sandwiches,Ribose/Galactose isomerase RpiB/AlsB
508,a+b three layers,Protein interacting with HSP90 1 (Pih1) N-terminal domain
842,a+b two layers,Thymidylate synthase-complementing protein Thy1
711,a+b two layers,Tp47 lipoprotein N-terminal domain
7546,a/b three-layered sandwiches,Glutaminase/Asparaginase N-terminal domain
7507,a/b three-layered sandwiches,Glutaminase/Asparaginase C-terminal domain
835,a+b complex topology,Proguanylin
7554,a/b three-layered sandwiches,"2,3-Bisphosphoglycerate-independent phosphoglycerate mutase, substrate-binding domain"
4223,a+b complex topology,first a+b domain in acetyl-CoA synthase
4971,a+b complex topology,second a+b domain in acetyl-CoA synthase
920,few secondary structure elements,Somatomedin B domain
5057,alpha bundles,Neurotransmitter-gated ion-channel transmembrane pore
549,alpha arrays,HAND domain of the nucleosome remodeling ATPase ISWI
159,alpha bundles,all-alpha NTP pyrophosphatases
6176,beta sandwiches,Insertion domain in tetravirus coat protein
4985,few secondary structure elements,DPY module
4039,beta complex topology,"Beta-strand domain in eukaryotic DNA topoisomerase I, N-terminal DNA-binding fragment"
4057,alpha arrays,"Alpha-helical domain in eukaryotic DNA topoisomerase I, N-terminal DNA-binding fragment"
562,alpha duplicates or obligate multimers,NblA-like (Pfam 04485)
701,beta sandwiches,alpha-Amylase inhibitor tendamistat
5076,alpha complex topology,Mitochondrial ADP/ATP carrier-like
355,few secondary structure elements,Trefoil/Plexin domain-like
3692,a+b two layers,Ornithine cyclodeaminase-like enzymes dimerization domain
274,a+b two layers,Pili subunits
564,alpha arrays,"N-terminal, cytoplasmic domain of anti-sigma factors"
5053,alpha complex topology,Clc chloride channel
559,alpha duplicates or obligate multimers,"H-NS histone-like proteins, N-terminal domain"
7574,a/b three-layered sandwiches,Thiamin diphosphate-binding fold (THDP-binding)
353,few secondary structure elements,Plant proteinase inhibitors
897,a+b two layers,Acidic mitochondrial matrix protein p32-like
4081,beta sandwiches,Baculovirus p35 protein-related
7528,a/b three-layered sandwiches,"Phosphoglucomutase, first 3 domains"
808,a+b duplicates or obligate multimers,Arterivirus nucleocapsid protein
3512,beta duplicates or obligate multimers,Trimeric autotransporter adhesin GIN domain
917,few secondary structure elements,Lin12/Notch repeat
584,alpha arrays,Quinohemoprotein amine dehydrogenase C chain
829,a+b duplicates or obligate multimers,NinB
7572,a/b three-layered sandwiches,Phosphofructokinase C-terminal domain
5089,beta complex topology,Membrane attack complex/perforin (MACPF) and cholesterol-dependent cytolysin (CDC) domains
3691,alpha arrays,Phosphomannose isomerase helical insertion domain
5068,alpha bundles,a domain/subunit of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
5013,extended segments,cytochrome c1 transmembrane anchor
5014,extended segments,iron-sulfur subunit (ISP) transmembrane anchor
5070,alpha arrays,14 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
5016,extended segments,Ubiquinone-binding protein QP-C of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
5071,alpha bundles,cytochrome bc1 complex 11 kDa protein-like
5017,extended segments,Subunit X (non-heme 7 kDa protein) of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase)
569,alpha bundles,Peridinin-chlorophyll protein
878,a+b two layers,Hypothetical protein MTH677
811,a+b complex topology,Cell cycle regulatory proteins
516,alpha arrays,"YgfY-like (DUP399, Pfam03937)"
804,a+b four layers,Hypothetical protein YwqG
5050,alpha complex topology,Major facilitator superfamily (MFS) general substrate transporter
907,few secondary structure elements,CCHHC domain
373,few secondary structure elements,Zn2/Cys6 DNA-binding domain
3702,beta complex topology,Penicillin binding protein dimerisation domain
6051,alpha duplicates or obligate multimers,Docking domains in modular polyketide synthases
166,alpha superhelices,1-deoxy-D-xylulose-5-phosphate reductoisomerase-C
555,alpha arrays,"Invasion protein A (SipA) , C-terminal actin binding domain"
4305,a+b two layers,GTF2I-like repeat
7567,a/b three-layered sandwiches,LmbE-like
5024,extended segments,"Cytochrome f subunit of the cytochrome b6f complex, transmembrane anchor"
5106,extended segments,PetG subunit of the cytochrome b6f complex
5025,extended segments,PetL subunit of the cytochrome b6f complex
5015,extended segments,PetM subunit of the cytochrome b6f complex
5026,extended segments,PetN subunit of the cytochrome b6f complex
520,beta sandwiches,gp9 N-terminal domain-like
3386,beta sandwiches,gp9 C-terminal domain-like
625,alpha arrays,Hepatitis B viral capsid (hbcag)
4076,a+b two layers,L9 N-domain-like
152,alpha arrays,RPB6/omega subunit-like
869,a+b complex topology,Methenyltetrahydromethanopterin cyclohydrolase
3758,alpha bundles,Bacterial hemolysins-like
3787,alpha bundles,HAD superfamily helical bundle insertion domain
52,beta sandwiches,"E2 regulatory, transactivation domain"
290,beta barrels,Sortase
875,a+b two layers,"Chorismate synthase, AroC"
286,a+b complex topology,Diaminopimelate epimerase-like
504,a+b two layers,Bacterial protein-export protein SecB
3051,alpha arrays,Superantigen MAM C-terminal domain
5083,extended segments,Connexin43
4037,alpha superhelices,Alpha-helical domain in virulence-associated V antigen
4055,a+b complex topology,a+b domain in virulence-associated V antigen
157,alpha duplicates or obligate multimers,Flavivirus capsid protein C
3317,alpha arrays,KorB C-terminal domain-like
843,a+b two layers,"Tombusvirus P19 core protein, VP19"
7563,a/b three-layered sandwiches,MCP/YpsA-related
542,alpha arrays,"Eukaryotic initiation factor 4f subunit eIF4g, eIF4e-binding domain"
929,beta duplicates or obligate multimers,Resistin
906,few secondary structure elements,CCCH zinc finger
57,beta complex topology,Cloacin translocation domain
5061,alpha complex topology,Preprotein translocase SecY subunit
5027,extended segments,Preprotein translocase SecE subunit
5028,extended segments,Sec-beta subunit
3696,a+b two layers,DNA helicase UvsW N-terminal a+b domain-related
613,alpha complex topology,Putative anticodon-binding domain of alanyl-tRNA synthetase (AlaRS)
861,a+b two layers,Mago nashi protein
4143,a+b two layers,THUMP domain-like
5029,extended segments,Oligosaccharyltransferase subunit ost4p
318,a+b two layers,Ribosomal protein L6
1109,few secondary structure elements,Fe-S cluster binding domain in some xanthine oxidase family enzymes
862,a+b complex topology,Prim-pol domain
7555,a/b three-layered sandwiches,"Alpha-2,3/8-sialyltransferase CstII-related"
579,extended segments,Anti-sigma factor FlgM
526,alpha bundles,ERO1-like
7540,a/b three-layered sandwiches,"Bacterial fluorinating enzyme, N-terminal domain"
156,alpha duplicates or obligate multimers,"Ribosomal protein L7/12, oligomerisation (N-terminal) domain"
3014,alpha duplicates or obligate multimers,Middle operon regulator dimerization domain
3010,a/b three-layered sandwiches,C-terminal subdomain in Lon-related proteases catalytic domains
641,alpha bundles,Glycogen synthesis protein GlgS
614,alpha duplicates or obligate multimers,L27 domain
5077,extended segments,Chlorophyll a-b binding protein
620,alpha bundles,YfiT-like putative metal-dependent hydrolases
618,a+b complex topology,DNA mimic protein DMP12-like
509,alpha bundles,PAH2 domain
4187,a+b two layers,NosL/MerB-like
716,beta duplicates or obligate multimers,Trimeric autotransporter adhesin Trp ring domain
586,extended segments,Stathmin
578,alpha arrays,YcfC-like
3004,alpha bundles,"Hypothetical protein YfhH, N-terminal domain"
5094,a+b duplicates or obligate multimers,OmpH-like
4084,alpha bundles,ChaB-like
5091,beta sandwiches,VP4 membrane interaction domain
521,beta sandwiches,"Ecotin, trypsin inhibitor"
4042,a+b complex topology,barrel domain in beta subunit of DNA dependent RNA-polymerase
4010,a+b complex topology,N-terminal domain in beta subunit of DNA dependent RNA-polymerase
4041,a+b complex topology,insertion domain in beta subunit of DNA dependent RNA-polymerase
4043,a+b complex topology,C-terminal domain in beta subunit of DNA dependent RNA-polymerase
4277,few secondary structure elements,"Mini-collagen I, C-terminal domain"
4008,a+b two layers,CbiD-like (Pfam 01888) N-terminal domain
7582,a/b three-layered sandwiches,Rossmann-like domain in CbiD
4026,a+b three layers,a+b domain in Rap/Ran-GAP (Pfam 02145)
831,a+b two layers,"NSFL1 (p97 ATPase) cofactor p47, SEP domain"
3786,alpha arrays,YAP1 redox domain
704,beta complex topology,Coronavirus RNA-binding domain (N-terminal part of Pfam 00937)
1114,alpha arrays,Serine acetyltransferase N-terminal domain
5090,beta complex topology,"Viral glycoprotein, central and dimerisation domains-like"
4271,alpha complex topology,PriB N-terminal domain-like
8001,alpha arrays,N-terminal domain of large tumor antigen
631,alpha arrays,"Glycolipid transfer protein, GLTP"
822,a+b two layers,GYF/BRK domain-like
550,alpha complex topology,Her-1
4021,alpha arrays,alpha-helical domain in 2-methylcitrate dehydratase PrpD
1056,a+b two layers,tRNA pseudouridine synthase TruD insertion domain
815,a+b two layers,Chromosomal protein MC1
4313,beta duplicates or obligate multimers,CsrA-like
857,a+b duplicates or obligate multimers,Cell division protein ZapA-like
915,few secondary structure elements,Mollusk pheromone
5086,alpha bundles,helical hairpin of HlyD-like secretion proteins
528,alpha bundles,ADP-ribosylglycohydrolase
3651,alpha bundles,Translation initiation factor eIF-2B delta subunit N-terminal helical domain
352,a+b complex topology,Noncollagenous (NC1) domain of collagen IV
535,alpha arrays,BEACH domain
575,alpha arrays,TAF(II)230 TBP-binding fragment
4979,alpha arrays,C-terminal domain of Hypothetical protein MPN330-like
4270,alpha bundles,N-terminal domain of Hypothetical protein MPN330
4980,alpha superhelices,Middle domain of Hypothetical protein MPN330
570,alpha arrays,Pre-protein crosslinking domain of SecA
4077,beta sandwiches,"Beta-galactosidase LacA, domain 3"
871,a+b two layers,SSo0622-like (Pfam 02676)
553,alpha arrays,Hypothetical protein MG354
7500,a/b three-layered sandwiches,Glycerate kinase I (Pfam 02595) domain II
814,a+b two layers,Chorismate lyase
51,beta sandwiches,Penicillin-binding protein associated domain
4957,a+b complex topology,helical domain in yeast RNA-polymerases
4956,a+b two layers,ferredoxin-like domain in yeast RNA-polymerase beta-prime subunit
4955,a+b two layers,permuted ferredoxin-like domain in yeast RNA-polymerase beta-prime subunit
4961,a+b complex topology,inserted a+b domain in yeast RNA polymerase beta subunit
572,alpha arrays,Scaffolding protein gpD of bacteriophage procapsid
867,a+b three layers,Coproporphyrinogen III oxidase
7590,a/b three-layered sandwiches,Middle domain in Argonaute homologs
4004,beta sandwiches,NAD kinase beta sandwich domain-like
913,few secondary structure elements,"Hormone receptor domain (HRM, Pfam 02793)"
873,a+b complex topology,H-NOX domain
5049,alpha complex topology,Ammonium transporter-related
4323,alpha bundles,helical bundle domain in vacuolar ATP synthase subunit C
502,a+b two layers,Anti-LPS factor/recA domain
568,few secondary structure elements,p8-MTCP1-related
4216,a+b duplicates or obligate multimers,Heme iron utilization protein-like
4024,few secondary structure elements,Fe-S cluster-binding domain in nickel-iron hydrogenase small subunit
710,beta complex topology,Obg GTP-binding protein N-terminal domain
513,a+b two layers,Obg GTP-binding protein C-terminal domain-like
3686,alpha arrays,Nitrile hydratase subunit beta N-termial domain
178,alpha arrays,SWIB/MDM2 domain
4357,beta barrels,WWE domain
155,alpha arrays,"VHP, Villin headpiece domain"
590,alpha bundles,Citrobacter dihydroxyacetone kinase extra ATP-binding domain
928,few secondary structure elements,Bubble protein
548,alpha duplicates or obligate multimers,GRIP domain
4174,a+b complex topology,N-terminal domain in viral ssDNA binding protein
1012,alpha arrays,Hsp90 co-chaperone CDC37 C-terminal domain
551,alpha arrays,Hsp90 co-chaperone CDC37 middle domain
805,a+b complex topology,"5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain"
3703,a/b three-layered sandwiches,HSP90 C-terminal a/b domain
173,alpha arrays,Uteroglobin-like
703,beta sandwiches,BTV NS2-like ssRNA-binding domain (N-terminal half of Pfam 04514)
558,alpha duplicates or obligate multimers,Lis-homology dimerization domain
4022,a+b two layers,N-terminal a+b domain in urocanase (Pfam 01175)
1192,a+b two layers,RumA insert domain
626,alpha complex topology,Formin homology 2 domain (FH2 domain)
921,few secondary structure elements,TSP type-3 repeat
825,beta complex topology,Aerolysin family of pore-forming toxins
4133,alpha arrays,Emsy N terminal (ENT) domain-like
4982,alpha arrays,KaiA/RbsU domain-like
810,a+b two layers,BtrG-like (Pfam 03674)
3054,alpha arrays,Insert all-alpha domain in prim-pol
5003,extended segments,Mitochondrial cytochrome c oxidase subunit IV
5004,extended segments,Mitochondrial cytochrome c oxidase subunit VIa
540,few secondary structure elements,Cytochrome c oxidase subunit h
5005,extended segments,Mitochondrial cytochrome c oxidase subunit VIc
5006,extended segments,Mitochondrial cytochrome c oxidase subunit VIIa
5007,extended segments,Mitochondrial cytochrome c oxidase subunit VIIb
5008,extended segments,Mitochondrial cytochrome c oxidase subunit VIIc (aka VIIIa)
5009,extended segments,Mitochondrial cytochrome c oxidase subunit VIIIb (aka IX)
556,alpha arrays,"KRAB domain (Kruppel-associated box, Pfam 01352)"
7539,a/b three-layered sandwiches,Creatininase
7547,a/b three-layered sandwiches,Hypothetical protein TT1679
5060,alpha bundles,V-type ATP synthase subunit C
75,beta barrels,Cyclophilin-like
4139,a+b two layers,AMMECR1-like
818,a+b two layers,DNA topoisomerase I domain
4261,a+b two layers,TrkA C-terminal domain-like
4330,few secondary structure elements,Vanabin-like
802,a+b two layers,Hypothetical protein TM0160
876,a+b complex topology,ParB/Sulfiredoxin
5103,a/b three-layered sandwiches,Insert domain in hypothetical protein PF0380
552,alpha arrays,Hypothetical protein At3g22680
7549,a/b three-layered sandwiches,Indigoidine synthase A-like (Pfam 04227)
4013,a/b three-layered sandwiches,a/b domain in QueA-like proteins (Pfam 02547)
3053,beta barrels,"barrel domain in putative modulator of DNA gyrase, PmbA/TldD"
512,a+b two layers,"a+b domain in putative modulator of DNA gyrase, PmbA/TldD (Pfam 01523)"
519,a+b two layers,mRNA decapping enzyme DcpS N-terminal domain
846,a+b two layers,YjbQ-like (Pfam 01894)
912,few secondary structure elements,HIV-1 VPU cytoplasmic domain
585,extended segments,Ribosomal protein L39e
3174,beta barrels,Ribosomal protein L14-like
259,a+b two layers,Ribosomal protein L31e-like
7551,a/b three-layered sandwiches,ComB-like
3117,a+b two layers,C-terminal domain of OAT (ornithine acetyltransferase)
1189,a+b complex topology,VSG (variant surface glycoprotein) N-terminal domain
4275,alpha arrays,Hypothetical protein YqbG-like
4232,few secondary structure elements,Ribosomal protein bL28-related
4069,alpha arrays,Phosphoprotein C-terminal domain
4203,few secondary structure elements,HSP33 redox switch-like
6004,extended segments,FATC domain
3620,alpha bundles,Factor H-binding protein BbCRASP-1
582,extended segments,Methanol dehydrogenase subunit
4309,a+b complex topology,"DUSP, domain in ubiquitin-specific proteases"
4334,beta complex topology,Inserted beta sandwich domain in Dac-like proteins
147,alpha arrays,Peripheral subunit-binding domain of 2-oxo acid dehydrogenase complex
6003,few secondary structure elements,Protein P30
6002,few secondary structure elements,Protein P16
3781,a+b two layers,Ribosomal protein L11/L12e N-terminal domain-like
4996,alpha arrays,DNA-binding domain of EIN3-like
3760,alpha arrays,Protein arginine N-methyltransferase 3 helical domain
4998,beta sandwiches,Flagellar hook protein flgE D2 domain-like
4167,beta complex topology,Flagellar hook protein flgE D1 domain
4312,a+b two layers,RelE-like
4992,extended segments,RelB-like
4263,a+b two layers,TTHA1528-like
3930,alpha bundles,Helical bundle insertion in helicase domains
4981,alpha arrays,"YfbU-like, C-terminal subdomain"
4359,alpha duplicates or obligate multimers,"YfbU-like, N-terminal subdomain"
849,a+b three layers,Hut operon positive regulatory protein HutP
6007,extended segments,NHR2 domain-like
7027,few secondary structure elements,Conotoxin F14
4307,alpha duplicates or obligate multimers,EB1 dimerisation domain-like
4100,a+b duplicates or obligate multimers,TTHA1013/TTHA0281-like
7000,alpha arrays,inserted region in the C-terminal domain of the archeal LeuRS
7588,a/b three-layered sandwiches,NadA-like/4-hydroxy-3-methylbut-2-enyl diphosphate reductase
4075,a+b complex topology,RGC domain
4299,alpha arrays,BSD domain
574,alpha bundles,Surp module (SWAP domain)
4095,alpha bundles,ATP-dependent DNA ligase DNA-binding domain
6009,a+b complex topology,Insertion domain in Adenovirus penton base protein
4337,a+b two layers,DNA mismatch repair protein MutL dimerization subdomain
4111,a+b two layers,AF0104/ALDC/Ptd012-like
4114,a+b two layers,PHP14-like
6081,a+b two layers,Pro-domain of Hemolysin hlyA
4009,alpha bundles,alpha-helical domain in AF1104-like proteins
7583,a/b three-layered sandwiches,Rossmann-like domain in AF1104-like proteins
851,extended segments,Phycoerythrin 545 alpha-subunits
866,a+b duplicates or obligate multimers,CheC-like
5011,extended segments,Bacterial ba3 type cytochrome c oxidase subunit IIa
7592,a/b three-layered sandwiches,CARF (CRISPR-associated Rossmann fold) domains
4268,alpha duplicates or obligate multimers,EspA/CesA-like
3269,alpha arrays,D-ornithine aminomutase S component-related
4986,few secondary structure elements,"Variant surface glycoprotein MITAT 1.2, VSG 221, C-terminal domain"
4137,a+b three layers,YehU-like
3601,alpha complex topology,Class III adenylyl cyclases regulatory domain
4091,beta complex topology,"L,D-transpeptidase catalytic domain-like"
6076,alpha arrays,Catalytic cysteine domain in ubiquitin-activating enzyme
514,alpha bundles,YutG-like
4340,a+b complex topology,TFB5-related
4286,beta complex topology,At5g01610-like
4333,a+b complex topology,DNA methylase specificity domain
3746,alpha bundles,Membrane-integrating protein Mistic
4207,alpha duplicates or obligate multimers,Mediator hinge subcomplex-like
4204,alpha bundles,AF0941-like
3607,alpha bundles,Poxvirus L1 protein
4978,a/b three-layered sandwiches,a/b domain in AF0625-like proteins
6020,a+b two layers,Beta domain of  DivIB/FtsQ
4166,beta sandwiches,Lactophage receptor-binding protein N-terminal domain-like
3761,beta duplicates or obligate multimers,Major tropism determinant (Mtd) trimerization domain-related
3815,beta sandwiches,C protein alpha-antigen beta-sandwich domain
7589,a/b three-layered sandwiches,YgbK-like
4304,alpha arrays,GUN4-like
3569,extended segments,Epidermal growth factor receptor transmembrane-juxtamembrane segment-like
3669,a+b complex topology,conserved hypothetical protein MTH0776
4228,a+b complex topology,"L,D-transpeptidase pre-catalytic domain-like"
4329,a+b complex topology,ORC1-binding domain
3236,alpha complex topology,Cation-proton antiporter
4194,a+b duplicates or obligate multimers,Prenyltransferase-like
4229,alpha bundles,"Indolic compounds 2,3-dioxygenase-like"
4983,alpha superhelices,"Indoleamine 2,3-dioxygenase N-terminal subdomain"
4291,beta barrels,Oxysterol-binding protein
4160,beta complex topology,Barrel domain in thermophilic metalloproteases (M29)
3732,few secondary structure elements,Anosmin 1 N-terminal cysteine-rich domain
4188,a+b complex topology,BB1717-like
587,alpha arrays,Nuclear receptor coactivator CBP/p300 ibid domain
4250,alpha bundles,"Duffy-binding-like domain, N-terminal subdomain"
4984,alpha bundles,"Duffy-binding-like domain, C-terminal subdomain"
4135,beta duplicates or obligate multimers,MAL13P1.257-like
3741,extended segments,Myeloma immunoglobulin D delta linker region
3812,alpha bundles,Type III secretion protein YscE
3433,a+b duplicates or obligate multimers,ParB dimerization domain
607,alpha arrays,Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain
5051,alpha complex topology,Sodium:neurotransmitter symporter family (SNF)-like
4267,a+b duplicates or obligate multimers,YefM-like
7520,a/b three-layered sandwiches,CinA-like
359,few secondary structure elements,"Bowman-Birk inhibitor, BBI-like"
3428,a+b two layers,hypothetical protein TA0743
4315,beta barrels,Coronavirus NSP8-like
4071,beta barrels,BH3618-like
3660,alpha bundles,Protein-export membrane protein secG
4199,alpha arrays,PG0816-like
3962,alpha arrays,N-terminal helical domain in restriction-modification system methylation subunit-like
3270,a+b two layers,a+b domain in heme oxygenase
4285,alpha arrays,EF2947-like
3744,a+b two layers,Photosystem II antenna protein PsbB insertion domain
5036,extended segments,Cytochrome b559 subunits
5032,extended segments,Photosystem II 10 kDa phosphoprotein PsbH
5035,extended segments,"Photosystem II reaction center protein I, PsbI"
5031,extended segments,"Photosystem II reaction center protein J, PsbJ"
5034,extended segments,"Photosystem II reaction center protein K, PsbK"
5030,extended segments,"Photosystem II reaction center protein L, PsbL"
5033,extended segments,"Photosystem II reaction center protein M, PsbM"
3390,extended segments,"Photosystem II reaction center protein T, PsbT"
5044,extended segments,PsbZ-like
4096,a+b two layers,NAP-like
4154,beta duplicates or obligate multimers,E2F-DP heterodimerization region
4150,beta duplicates or obligate multimers,Atu1913-like
3422,a+b two layers,TEN domain of telomerase reverse transcriptase
4308,a+b complex topology,YbiA-like
3423,a+b three layers,Nonstructural protein V
7536,a/b three-layered sandwiches,GckA/TtuD-like domain 1
707,beta complex topology,Hydrophobin
4123,few secondary structure elements,E7 C-terminal domain-like
6012,few secondary structure elements,Antimicrobial peptide LCI
6039,few secondary structure elements,CLIP domain
4238,few secondary structure elements,Viral leader polypeptide zinc finger
902,few secondary structure elements,Amb V allergen
4121,a+b three layers,CorA soluble domain-like
914,few secondary structure elements,"Methylamine dehydrogenase, L chain"
6006,extended segments,Voltage gated calcium channel IQ domain
702,beta duplicates or obligate multimers,beta-hairpin stack
6011,few secondary structure elements,Phytotoxic protein PcF
4184,beta barrels,MFPT repeat
6005,few secondary structure elements,PSI AB box domain
6086,extended segments,N-terminal domain of small heat shock protein Tsp36
4120,few secondary structure elements,Tim10/DDP
6019,a+b two layers,"C-terminal domain of  bypass of forespore C, BofC"
4202,alpha duplicates or obligate multimers,Hermes dimerisation domain
3617,a+b three layers,Thioredoxin-like domain in RNase E
7580,a/b three-layered sandwiches,RibA-like
4321,a+b two layers,Peptidoglycan deacetylase N-terminal noncatalytic region
4298,alpha arrays,Phage replication organizer domain
3614,alpha arrays,T4 RNA ligase
4266,alpha bundles,Hyaluronidase domain-like
4182,beta sandwiches,Agglutinin HPA-like
4070,alpha arrays,FtsH protease domain-like
5047,extended segments,ATP synthase D chain-like
5072,extended segments,Mitochondrial ATP synthase coupling factor 6
4293,beta duplicates or obligate multimers,SARS ORF9b-like
4210,a+b two layers,WGR domain
4348,alpha bundles,Topoisomerase V catalytic domain-like
1057,a+b two layers,Endonuclease PI-TkoII domain IV
3580,alpha arrays,RNA silencing suppressor p21 C-terminal domain
4193,alpha arrays,RUN domain
7538,a/b three-layered sandwiches,Hypothetical protein MT938 (MTH938)
4977,a+b complex topology,TBP-interacting protein C-terminal domain-like
1112,alpha arrays,MshE c-di-GMP-binding domain
